Tiempo,Partida,Palabras a adivinar,Evento,Usuarie – Nick,Usuarie – Genero,Usuarie – Edad,Estado,Palabra,Nivel,
2021-06-10 00:47:11.418083,1,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-10 00:47:13.397088,1,4,Intento,valen,Masculino,18,Ok,#,1,
2021-06-10 00:47:14.239490,1,4,Intento,valen,Masculino,18,Ok,#,1,
2021-06-10 00:47:14.239490,1,4,fin,valen,Masculino,18,Finalizada,#,1,
2021-06-10 00:47:17.716097,1,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-10 00:47:18.837700,1,4,Intento,valen,Masculino,18,Ok,#,1,
2021-06-10 00:47:19.414901,1,4,Intento,valen,Masculino,18,Ok,#,1,
2021-06-10 00:47:19.414901,1,4,fin,valen,Masculino,18,Finalizada,#,1,
2021-06-10 00:47:29.741326,1,9,inicio de partida,valen,Masculino,18,,,2,
2021-06-10 00:47:31.923731,1,9,Intento,valen,Masculino,18,Ok,#,2,
2021-06-10 00:47:33.530534,1,9,Intento,valen,Masculino,18,Ok,#,2,
2021-06-10 00:47:34.874136,1,9,Intento,valen,Masculino,18,Ok,#,2,
2021-06-10 00:47:34.874136,1,9,fin,valen,Masculino,18,Finalizada,#,2,
2021-06-10 00:47:54.069175,1,6,inicio de partida,valen,Masculino,18,,,1,
2021-06-10 00:47:55.322979,1,6,Intento,valen,Masculino,18,Ok,#,1,
2021-06-10 00:47:56.102980,1,6,Intento,valen,Masculino,18,Ok,#,1,
2021-06-10 00:47:56.960982,1,6,Intento,valen,Masculino,18,Ok,#,1,
2021-06-10 00:47:56.960982,1,6,fin,valen,Masculino,18,Finalizada,#,1,
2021-06-09 17:36:16.071480,2,4,inicio de partida,Bautista,m,18,,,1,
2021-06-09 17:36:17.281206,2,4,Intento,Bautista,m,18,Ok,#,1,
2021-06-09 17:36:18.246252,2,4,Intento,Bautista,m,18,Ok,#,1,
2021-06-09 17:36:18.246656,2,4,fin,Bautista,m,18,Finalizada,#,1,
2021-06-13 15:22:37.247028,3,4,inicio de partida,Bautista,m,18,,,1,
2021-06-13 15:22:39.739573,3,4,Intento,Bautista,m,18,Ok,#,1,
2021-06-13 15:22:41.897813,3,4,Intento,Bautista,m,18,Ok,#,1,
2021-06-13 15:22:41.898241,3,4,fin,Bautista,m,18,Finalizada,#,1,
2021-06-13 15:38:05.697956,4,4,inicio de partida,Bautista,m,18,,,1,
2021-06-13 15:38:08.186287,4,4,Intento,Bautista,m,18,Ok,#,1,
2021-06-13 15:38:09.932847,4,4,Intento,Bautista,m,18,Ok,#,1,
2021-06-13 15:38:09.933371,4,4,fin,Bautista,m,18,Finalizada,#,1,
2021-06-13 15:40:17.666899,5,4,inicio de partida,Bautista,m,18,,,1,
2021-06-13 15:40:20.330340,5,4,Intento,Bautista,m,18,Ok,#,1,
2021-06-13 15:40:21.011830,5,4,Intento,Bautista,m,18,Ok,#,1,
2021-06-13 15:40:21.012253,5,4,fin,Bautista,m,18,Finalizada,#,1,
2021-06-13 15:45:01.706406,6,4,inicio de partida,Bautista,m,18,,,1,
2021-06-13 15:45:04.563814,6,4,Intento,Bautista,m,18,Ok,#,1,
